MatchKey,BattingTeam,Score,Wickets,InningsResult,Overs,RPO,Lead,Inns,Result,Opposition,HostCountry,StartDate
2154,Afghanistan,109,10,1,27.5,3.96,-365,2,0,India,India,6/14/2018
2154,Afghanistan,103,10,1,38.4,2.68,-262,3,0,India,India,6/14/2018
2198,Afghanistan,314,10,1,106.3,2.95,142,2,1,Ireland,India,3/15/2019
2198,Afghanistan,149,3,1,47.5,3.14,3,4,1,Ireland,India,3/15/2019
2208,Afghanistan,342,10,1,117,2.92,342,1,1,Bangladesh,Bangladesh,09/05/2019
2208,Afghanistan,260,10,1,90.1,2.89,397,3,1,Bangladesh,Bangladesh,09/05/2019
2217,Afghanistan,187,10,1,68.3,2.74,187,1,0,West Indies,India,11/27/2019
2217,Afghanistan,120,10,1,43.1,2.78,30,3,0,West Indies,India,11/27/2019
1,Australia,168,10,1,72.1,2.33,-296,2,0,England,Australia,12/13/1901
1,Australia,172,10,1,57.4,3,24,3,0,England,Australia,12/13/1901
2,Australia,112,10,1,32.1,3.49,112,1,1,England,Australia,01/01/1902
2,Australia,353,10,1,156.2,2.26,404,3,1,England,Australia,01/01/1902
3,Australia,321,10,1,113,2.84,-67,2,1,England,Australia,1/17/1902
3,Australia,315,6,1,134,2.35,1,4,1,England,Australia,1/17/1902
4,Australia,299,10,1,139,2.15,8,2,1,England,Australia,2/14/1902
4,Australia,121,3,1,36.3,3.33,4,4,1,England,Australia,2/14/1902
5,Australia,144,10,1,53,2.72,144,1,1,England,Australia,2/28/1902
5,Australia,255,10,1,89.1,2.86,210,3,1,England,Australia,2/28/1902
6,Australia,36,10,1,23,1.57,-340,2,0,England,England,5/29/1902
6,Australia,46,2,1,28,1.64,-294,3,0,England,England,5/29/1902
7,Australia,194,10,1,66.1,2.93,194,1,1,England,England,07/03/1902
7,Australia,289,10,1,72.1,4.01,338,3,1,England,England,07/03/1902
8,Australia,299,10,1,76.1,3.93,299,1,1,England,England,7/24/1902
8,Australia,86,10,1,47.4,1.81,123,3,1,England,England,7/24/1902
9,Australia,324,10,1,123.5,2.62,324,1,0,England,England,08/11/1902
9,Australia,121,10,1,60,2.02,262,3,0,England,England,08/11/1902
10,Australia,296,10,1,51,5.8,58,2,0,South Africa,South Africa,10/11/1902
10,Australia,372,7,0,78,4.77,214,3,0,South Africa,South Africa,10/11/1902
11,Australia,175,10,1,55.1,3.18,175,1,1,South Africa,South Africa,10/18/1902
11,Australia,309,10,1,81.4,3.8,244,3,1,South Africa,South Africa,10/18/1902
12,Australia,252,10,1,70.5,3.57,252,1,1,South Africa,South Africa,11/08/1902
12,Australia,59,0,1,9.5,6.21,1,4,1,South Africa,South Africa,11/08/1902
13,Australia,285,10,1,118.2,2.41,285,1,0,England,Australia,12/11/1903
13,Australia,485,10,1,145.2,3.34,193,3,0,England,Australia,12/11/1903
14,Australia,122,10,1,30.2,4.04,93,2,0,England,Australia,01/01/1904
14,Australia,111,10,1,29.4,3.78,85,4,0,England,Australia,01/01/1904
15,Australia,388,10,1,106.1,3.66,388,1,1,England,Australia,1/15/1904
15,Australia,351,10,1,114.5,3.07,494,3,1,England,Australia,1/15/1904
16,Australia,131,10,1,51.3,2.55,18,2,0,England,Australia,2/26/1904
16,Australia,171,10,1,72.5,2.36,57,4,0,England,Australia,2/26/1904
17,Australia,247,10,1,82.1,3.01,247,1,1,England,Australia,03/05/1904
17,Australia,133,10,1,43.5,3.06,319,3,1,England,Australia,03/05/1904
18,Australia,221,10,1,63.5,3.48,25,2,0,England,England,5/29/1905
18,Australia,188,10,1,72.4,2.6,-213,4,0,England,England,5/29/1905
19,Australia,181,10,1,50.1,3.61,1,2,0,England,England,6/15/1905
20,Australia,195,10,1,53.2,3.67,6,2,0,England,England,07/03/1905
20,Australia,224,7,1,91,2.46,77,4,0,England,England,07/03/1905
21,Australia,197,10,1,45.5,4.33,-249,2,0,England,England,7/24/1905
21,Australia,169,10,1,52.3,3.23,-80,3,0,England,England,7/24/1905
22,Australia,363,10,1,93.1,3.9,-67,2,0,England,England,8/14/1905
22,Australia,124,4,1,37,3.35,-204,4,0,England,England,8/14/1905
31,Australia,300,10,1,91.2,3.29,27,2,1,England,Australia,12/13/1907
31,Australia,275,8,1,98.3,2.8,2,4,1,England,Australia,12/13/1907
32,Australia,266,10,1,100.5,2.65,266,1,0,England,Australia,01/01/1908
32,Australia,397,10,1,121.4,3.27,281,3,0,England,Australia,01/01/1908
33,Australia,285,10,1,94.5,3.02,285,1,1,England,Australia,01/10/1908
33,Australia,506,10,1,167.5,3.02,428,3,1,England,Australia,01/10/1908
34,Australia,214,10,1,85.5,2.5,214,1,1,England,Australia,02/07/1908
34,Australia,385,10,1,124,3.1,494,3,1,England,Australia,02/07/1908
35,Australia,137,10,1,50.4,2.72,137,1,1,England,Australia,2/21/1908
35,Australia,422,10,1,127.4,3.31,278,3,1,England,Australia,2/21/1908
36,Australia,74,10,1,46,1.61,74,1,0,England,England,5/27/1909
36,Australia,151,10,1,52.5,2.88,104,3,0,England,England,5/27/1909
37,Australia,350,10,1,119.5,2.93,81,2,1,England,England,6/14/1909
37,Australia,41,1,1,15.4,2.66,1,4,1,England,England,6/14/1909
38,Australia,188,10,1,73.1,2.57,188,1,1,England,England,07/01/1909
38,Australia,207,10,1,96.1,2.15,213,3,1,England,England,07/01/1909
39,Australia,147,10,1,54.3,2.71,147,1,0,England,England,7/26/1909
39,Australia,279,9,0,84.3,3.31,307,3,0,England,England,7/26/1909
40,Australia,325,10,1,89.3,3.64,325,1,0,England,England,08/09/1909
40,Australia,339,5,0,100,3.39,312,3,0,England,England,08/09/1909
